# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789276301.233459969	456000000	51	0 21481189 22939907 46933617 687143144 1733455186 0 64765 0 709429 
1789276301.530991144	456000000	36	0 21481189 22939907 46933617 687143144 1733563196 0 64765 0 709429 
1789276301.832232164	456000000	36	0 21481189 22939907 46933617 687143144 1733676126 0 64765 0 709429 
1789276302.130904173	456000000	36	0 21481189 22939907 46933617 687143144 1733783238 0 64765 0 709429 
1789276302.426153786	456000000	34	0 21481189 22939907 46933617 687143144 1733873555 0 64765 0 709429 
1789276302.733080743	456000000	34	0 21481189 22939907 46933617 687143144 1733994704 0 64765 0 709429 
1789276303.039226920	456000000	34	0 21481189 22939907 46933617 687143144 1734118348 0 64765 0 709429 
1789276303.341741429	456000000	39	0 21481189 22939907 46933617 687143144 1734239605 0 64765 0 709429 
1789276303.643944897	456000000	39	0 21481189 22939907 46933617 687143144 1734365301 0 64765 0 709429 
1789276303.947810135	456000000	39	0 21481189 22939907 46933617 687143144 1734489826 0 64765 0 709429 
1789276304.250638030	456000000	39	0 21481189 22939907 46933617 687143144 1734615467 0 64765 0 709429 
1789276304.561565769	456000000	40	0 21481189 22939907 46933617 687143144 1734739160 0 64765 0 709429 
1789276304.866417570	456000000	40	0 21481189 22939907 46933617 687143144 1734837906 0 64765 0 709429 
1789276305.170287809	456000000	40	0 21481189 22939907 46933617 687143144 1734958923 0 64765 0 709429 
1789276305.472158672	456000000	37	0 21481189 22939907 46933617 687143144 1735079004 0 64765 0 709429 
1789276305.778898078	456000000	37	0 21481189 22939907 46933617 687143144 1735204273 0 64765 0 709429 
1789276306.083325765	456000000	37	0 21481189 22939907 46933617 687143144 1735325317 0 64765 0 709429 
1789276306.382938451	456000000	40	0 21481189 22939907 46933617 687143144 1735449697 0 64765 0 709429 
1789276306.688442179	456000000	40	0 21481189 22939907 46933617 687143144 1735578797 0 64765 0 709429 
1789276306.996757314	456000000	40	0 21481189 22939907 46933617 687143144 1735706681 0 64765 0 709429 
1789276307.302662813	456000000	41	0 21481189 22939907 46933617 687143144 1735829164 0 64765 0 709429 
1789276307.604933781	456000000	41	0 21481189 22939907 46933617 687143144 1735928363 0 64765 0 709429 
1789276307.906666311	456000000	41	0 21481189 22939907 46933617 687143144 1736046268 0 64765 0 709429 
1789276308.208648060	456000000	41	0 21481189 22939907 46933617 687143144 1736171065 0 64765 0 709429 
1789276308.514747048	456000000	37	0 21481189 22939907 46933617 687143144 1736296002 0 64765 0 709429 
1789276308.817388381	456000000	37	0 21481189 22939907 46933617 687143144 1736420282 0 64765 0 709429 
1789276309.119192213	456000000	37	0 21481189 22939907 46933617 687143144 1736542963 0 64765 0 709429 
1789276309.422598910	456000000	40	0 21481189 22939907 46933617 687143144 1736667731 0 64765 0 709429 
1789276309.728586649	456000000	40	0 21481189 22939907 46933617 687143144 1736794857 0 64765 0 709429 
1789276310.035455637	456000000	40	0 21481189 22939907 46933617 687143144 1736904485 0 64765 0 709429 
1789276310.337223376	456000000	38	0 21481189 22939907 46933617 687143144 1737017637 0 64765 0 709429 
1789276310.640837573	456000000	38	0 21481189 22939907 46933617 687143144 1737135388 0 64765 0 709429 
1789276310.942827134	456000000	38	0 21481189 22939907 46933617 687143144 1737261677 0 64765 0 709429 
1789276311.248391748	456000000	38	0 21481189 22939907 46933617 687143144 1737386358 0 64765 0 709429 
1789276311.550531882	456000000	40	0 21481189 22939907 46933617 687143144 1737511955 0 64765 0 709429 
1789276311.857228736	456000000	40	0 21481189 22939907 46933617 687143144 1737637134 0 64765 0 709429 
1789276312.162440224	456000000	40	0 21481189 22939907 46933617 687143144 1737762304 0 64765 0 709429 
1789276312.469925307	456000000	41	0 21481189 22939907 46933617 687143144 1737888795 0 64765 0 709429 
1789276312.777354661	456000000	41	0 21481189 22939907 46933617 687143144 1737989062 0 64765 0 709429 
1789276313.075631982	456000000	41	0 21481189 22939907 46933617 687143144 1738107656 0 64765 0 709429 
1789276313.380485658	456000000	38	0 21481189 22939907 46933617 687143144 1738234343 0 64765 0 709429 
1789276313.690567564	456000000	38	0 21481189 22939907 46933617 687143144 1738361509 0 64765 0 709429 
1789276313.995455928	456000000	38	0 21481189 22939907 46933617 687143144 1738486493 0 64765 0 709429 
1789276314.304927573	456000000	41	0 21481189 22939907 46933617 687143144 1738614052 0 64765 0 709429 
1789276314.609307760	456000000	41	0 21481189 22939907 46933617 687143144 1738740565 0 64765 0 709429 
1789276314.914077009	456000000	41	0 21481189 22939907 46933617 687143144 1738866883 0 64765 0 709429 
1789276315.222843290	456000000	41	0 21481189 22939907 46933617 687143144 1738980780 0 64765 0 709429 
1789276315.523843111	456000000	38	0 21481189 22939907 46933617 687143144 1739083994 0 64765 0 709429 
1789276315.819661318	456000000	38	0 21481189 22939907 46933617 687143144 1739196177 0 64765 0 709429 
1789276316.126127025	456000000	38	0 21481189 22939907 46933617 687143144 1739323587 0 64765 0 709429 
1789276316.429767264	456000000	39	0 21481189 22939907 46933617 687143144 1739449437 0 64765 0 709429 
1789276316.734540784	456000000	39	0 21481189 22939907 46933617 687143144 1739576303 0 64765 0 709429 
1789276317.039330710	456000000	39	0 21481189 22939907 46933617 687143144 1739703858 0 64765 0 709429 
1789276317.345574699	456000000	41	0 21481189 22939907 46933617 687143144 1739828285 0 64765 0 709429 
1789276317.647155406	456000000	41	0 21481189 22939907 46933617 687143144 1739952940 0 64765 0 709429 
1789276317.948786842	456000000	41	0 21481189 22939907 46933617 687143144 1740053884 0 64765 0 709429 
1789276318.246229737	456000000	41	0 21481189 22939907 46933617 687143144 1740165577 0 64765 0 709429 
1789276318.553977528	456000000	37	0 21481189 22939907 46933617 687143144 1740299793 0 64765 0 709429 
1789276318.867057298	456000000	37	0 21481189 22939907 46933617 687143144 1740434564 0 64765 0 709429 
1789276319.172002016	456000000	37	0 21481189 22939907 46933617 687143144 1740567709 0 64765 0 709429 
1789276319.473664755	456000000	43	0 21481189 22939907 46933617 687143144 1740698978 0 64765 0 709429 
1789276319.778144681	456000000	43	0 21481189 22939907 46933617 687143144 1740832996 0 64765 0 709429 
1789276320.083287940	456000000	43	0 21481189 22939907 46933617 687143144 1740964687 0 64765 0 709429 
1789276320.387607450	456000000	43	0 21481189 22939907 46933617 687143144 1741096640 0 64765 0 709429 
1789276320.694562533	456000000	43	0 21481189 22939907 46933617 687143144 1741204323 0 64765 0 709429 
1789276320.999587563	456000000	43	0 21481189 22939907 46933617 687143144 1741332971 0 64765 0 709429 
1789276321.312545667	456000000	40	0 21481189 22939907 46933617 687143144 1741467468 0 64765 0 709429 
1789276321.615527051	456000000	40	0 21481189 22939907 46933617 687143144 1741600339 0 64765 0 709429 
1789276321.922857290	456000000	40	0 21481189 22939907 46933617 687143144 1741734082 0 64765 0 709429 
1789276322.226919769	456000000	40	0 21481189 22939907 46933617 687143144 1741875648 0 64765 0 709429 
1789276322.536605008	456000000	44	0 21481189 22939907 46933617 687143144 1742025115 0 64765 0 709429 
1789276322.841071444	456000000	44	0 21481189 22939907 46933617 687143144 1742173766 0 64765 0 709429 
1789276323.140917672	456000000	44	0 21481189 22939907 46933617 687143144 1742289736 0 64765 0 709429 
1789276323.441388952	456000000	44	0 21481189 22939907 46933617 687143144 1742398963 0 64765 0 709429 
1789276323.737279398	456000000	44	0 21481189 22939907 46933617 687143144 1742506130 0 64765 0 709429 
1789276324.038470053	456000000	44	0 21481189 22939907 46933617 687143144 1742629955 0 64765 0 709429 
1789276324.342868365	456000000	38	0 21481189 22939907 46933617 687143144 1742756840 0 64765 0 709429 
1789276324.648732822	456000000	38	0 21481189 22939907 46933617 687143144 1742881240 0 64765 0 709429 
1789276324.958592332	456000000	38	0 21481189 22939907 46933617 687143144 1743008317 0 64765 0 709429 
1789276325.264788300	456000000	38	0 21481189 22939907 46933617 687143144 1743134069 0 64765 0 709429 
1789276325.568015466	456000000	41	0 21481189 22939907 46933617 687143144 1743258714 0 64765 0 709429 
1789276325.873005548	456000000	41	0 21481189 22939907 46933617 687143144 1743383518 0 64765 0 709429 
1789276326.177594225	456000000	41	0 21481189 22939907 46933617 687143144 1743486086 0 64765 0 709429 
1789276326.478906650	456000000	37	0 21481189 22939907 46933617 687143144 1743576846 0 64765 0 709429 
1789276326.780485483	456000000	37	0 21481189 22939907 46933617 687143144 1743674432 0 64765 0 709429 
1789276327.085806503	456000000	37	0 21481189 22939907 46933617 687143144 1743770762 0 64765 0 709429 
1789276327.393852575	456000000	31	0 21481189 22939907 46933617 687143144 1743867283 0 64765 0 709429 
1789276327.699045835	456000000	31	0 21481189 22939907 46933617 687143144 1743965163 0 64765 0 709429 
1789276328.004511855	456000000	31	0 21481189 22939907 46933617 687143144 1744061089 0 64765 0 709429 
1789276328.305904853	456000000	31	0 21481189 22939907 46933617 687143144 1744156282 0 64765 0 709429 
1789276328.612869363	456000000	31	0 21481189 22939907 46933617 687143144 1744253600 0 64765 0 709429 
1789276328.912273664	456000000	31	0 21481189 22939907 46933617 687143144 1744347069 0 64765 0 709429 
1789276329.213041767	456000000	31	0 21481189 22939907 46933617 687143144 1744443507 0 64765 0 709429 
1789276329.515885547	456000000	31	0 21481189 22939907 46933617 687143144 1744538087 0 64765 0 709429 
1789276329.816952296	456000000	31	0 21481189 22939907 46933617 687143144 1744630785 0 64765 0 709429 
1789276330.124531753	456000000	31	0 21481189 22939907 46933617 687143144 1744765301 0 64765 0 709429 
1789276330.424353710	456000000	36	0 21481189 22939907 46933617 687143144 1744897374 0 64765 0 709429 
1789276330.728128115	456000000	36	0 21481189 22939907 46933617 687143144 1745032556 0 64765 0 709429 
1789276331.034321427	456000000	36	0 21481189 22939907 46933617 687143144 1745174473 0 64765 0 709429 
1789276331.338690728	456000000	45	0 21481189 22939907 46933617 687143144 1745313448 0 64765 0 709429 
1789276331.649026697	456000000	45	0 21481189 22939907 46933617 687143144 1745451188 0 64765 0 709429 
1789276331.954037717	456000000	45	0 21481189 22939907 46933617 687143144 1745584965 0 64765 0 709429 
1789276332.255526809	456000000	45	0 21481189 22939907 46933617 687143144 1745704347 0 64765 0 709429 
1789276332.558963350	492000000	42	0 21481189 22939907 46933617 687159342 1745796168 0 64765 0 709429 
1789276332.857680255	492000000	42	0 21481189 22939907 46933617 687344891 1745796168 0 64765 0 709429 
1789276333.158043253	492000000	42	0 21481189 22939907 46933617 687538684 1745796168 0 64765 0 709429 
1789276333.454850210	492000000	56	0 21481189 22939907 46933617 687740459 1745796168 0 64765 0 709429 
1789276333.755510396	456000000	56	0 21481189 22939907 46933617 687908971 1745826982 0 64765 0 709429 
1789276334.054236468	456000000	56	0 21481189 22939907 46933617 687908971 1746050457 0 64765 0 709429 
1789276334.355856081	456000000	70	0 21481189 22939907 46933617 687908971 1746275737 0 64765 0 709429 
1789276334.656154913	456000000	70	0 21481189 22939907 46933617 687908971 1746497587 0 64765 0 709429 
1789276334.955650412	456000000	70	0 21481189 22939907 46933617 687908971 1746697935 0 64765 0 709429 
1789276335.249706326	492000000	70	0 21481189 22939907 46933617 687943934 1746746951 0 64765 0 709429 
1789276335.549350992	492000000	57	0 21481189 22939907 46933617 688043163 1746746951 0 64765 0 709429 
1789276335.847473990	492000000	57	0 21481189 22939907 46933617 688146333 1746746951 0 64765 0 709429 
1789276336.144650790	492000000	57	0 21481189 22939907 46933617 688249015 1746746951 0 64765 0 709429 
1789276336.439083216	456000000	34	0 21481189 22939907 46933617 688294373 1746810872 0 64765 0 709429 
1789276336.738912516	456000000	34	0 21481189 22939907 46933617 688294373 1746922765 0 64765 0 709429 
1789276337.037382754	456000000	34	0 21481189 22939907 46933617 688294373 1747037226 0 64765 0 709429 
1789276337.338692524	456000000	37	0 21481189 22939907 46933617 688294373 1747148080 0 64765 0 709429 
1789276337.636512345	456000000	37	0 21481189 22939907 46933617 688294373 1747258749 0 64765 0 709429 
1789276337.933545135	456000000	37	0 21481189 22939907 46933617 688294373 1747369315 0 64765 0 709429 
1789276338.235110113	456000000	37	0 21481189 22939907 46933617 688294373 1747476212 0 64765 0 709429 
1789276338.531924570	456000000	36	0 21481189 22939907 46933617 688294373 1747581341 0 64765 0 709429 
1789276338.831008766	456000000	36	0 21481189 22939907 46933617 688294373 1747688386 0 64765 0 709429 
1789276339.132960099	456000000	36	0 21481189 22939907 46933617 688294373 1747794508 0 64765 0 709429 
1789276339.431485597	456000000	35	0 21481189 22939907 46933617 688294373 1747902046 0 64765 0 709429 
1789276339.734554898	456000000	35	0 21481189 22939907 46933617 688294373 1748008004 0 64765 0 709429 
1789276340.029839980	456000000	35	0 21481189 22939907 46933617 688294373 1748113665 0 64765 0 709429 
1789276340.330301676	456000000	35	0 21481189 22939907 46933617 688294373 1748220712 0 64765 0 709429 
1789276340.627845664	456000000	35	0 21481189 22939907 46933617 688294373 1748326879 0 64765 0 709429 
1789276340.931638090	456000000	35	0 21481189 22939907 46933617 688294373 1748434671 0 64765 0 709429 
1789276341.235040516	456000000	35	0 21481189 22939907 46933617 688294373 1748513806 0 64765 0 709429 
1789276341.533269452	456000000	34	0 21481189 22939907 46933617 688294373 1748660839 0 64765 0 709429 
1789276341.833590159	492000000	34	0 21481189 22939907 46933617 688375501 1748718087 0 64765 0 709429 
1789276342.127972220	492000000	34	0 21481189 22939907 46933617 688510597 1748718087 0 64765 0 709429 
1789276342.427101625	492000000	46	0 21481189 22939907 46933617 688647653 1748718087 0 64765 0 709429 
1789276342.726084623	492000000	46	0 21481189 22939907 46933617 688782629 1748718087 0 64765 0 709429 
1789276343.027846528	456000000	46	0 21481189 22939907 46933617 688793586 1748847907 0 64765 0 709429 
1789276343.327417235	456000000	46	0 21481189 22939907 46933617 688793586 1748991711 0 64765 0 709429 
1789276343.628256223	456000000	46	0 21481189 22939907 46933617 688793586 1749136735 0 64765 0 709429 
1789276343.930092972	456000000	46	0 21481189 22939907 46933617 688793586 1749210922 0 64765 0 709429 
1789276344.230758888	640000000	46	0 21596709 22950998 46946067 688803857 1749274957 0 64765 0 709429 
1789276344.526741365	492000000	49	0 21667811 22984518 46988220 688869251 1749274957 0 64765 0 709429 
1789276344.828250874	545000000	49	0 21667811 22984518 47106636 688993909 1749274957 0 64765 0 709429 
1789276345.129845592	492000000	49	0 21667811 22984518 47199221 689145487 1749274957 0 64765 0 709429 
1789276345.430779163	492000000	79	0 21667811 22984518 47199221 689400667 1749274957 0 64765 0 709429 
1789276345.734822162	492000000	79	0 21667811 22984518 47199221 689651927 1749274957 0 64765 0 709429 
1789276346.031395317	492000000	79	0 21667811 22984518 47199221 689905217 1749274957 0 64765 0 709429 
1789276346.332199149	492000000	83	0 21667811 22984518 47199221 690152414 1749274957 0 64765 0 709429 
1789276346.629342824	492000000	83	0 21667811 22984518 47199221 690270175 1749274957 0 64765 0 709429 
1789276346.925961344	492000000	83	0 21667811 22984518 47199221 690335744 1749343170 0 64765 0 709429 
1789276347.221522050	492000000	83	0 21667811 22984518 47199221 690461848 1749343170 0 64765 0 709429 
1789276347.521928695	492000000	43	0 21667811 22984518 47199221 690594068 1749343170 0 64765 0 709429 
1789276347.816253411	456000000	43	0 21667811 22984518 47199221 690718254 1749353060 0 64765 0 709429 
1789276348.117882192	456000000	43	0 21667811 22984518 47199221 690718254 1749495772 0 64765 0 709429 
1789276348.416483628	456000000	46	0 21667811 22984518 47199221 690718254 1749638321 0 64765 0 709429 
1789276348.714614126	456000000	46	0 21667811 22984518 47199221 690718254 1749777905 0 64765 0 709429 
1789276349.011942020	456000000	46	0 21667811 22984518 47199221 690718254 1749920421 0 64765 0 709429 
1789276349.309668717	456000000	46	0 21667811 22984518 47199221 690718254 1750017073 0 64765 0 709429 
1789276349.605238381	456000000	43	0 21667811 22984518 47199221 690718254 1750109019 0 64765 0 709429 
1789276349.909319037	456000000	43	0 21667811 22984518 47199221 690718254 1750197310 0 64765 0 709429 
1789276350.201635628	456000000	43	0 21667811 22984518 47199221 690718254 1750288406 0 64765 0 709429 
1789276350.501734252	456000000	30	0 21667811 22984518 47199221 690718254 1750377979 0 64765 0 709429 
1789276350.796372302	456000000	30	0 21667811 22984518 47199221 690718254 1750466610 0 64765 0 709429 
1789276351.095342592	456000000	30	0 21667811 22984518 47199221 690718254 1750559288 0 64765 0 709429 
1789276351.394496789	456000000	30	0 21667811 22984518 47199221 690718254 1750649523 0 64765 0 709429 
1789276351.695494996	456000000	30	0 21667811 22984518 47199221 690718254 1750740632 0 64765 0 709429 
1789276351.997815182	456000000	30	0 21667811 22984518 47199221 690718254 1750832319 0 64765 0 709429 
1789276352.298628337	456000000	30	0 21667811 22984518 47199221 690718254 1750922586 0 64765 0 709429 
1789276352.595589877	456000000	30	0 21667811 22984518 47199221 690718254 1751012595 0 64765 0 709429 
1789276352.895712720	456000000	30	0 21667811 22984518 47199221 690718254 1751104246 0 64765 0 709429 
1789276353.202160719	456000000	30	0 21667811 22984518 47199221 690718254 1751240330 0 64765 0 709429 
1789276353.508935385	456000000	36	0 21667811 22984518 47199221 690718254 1751376473 0 64765 0 709429 
1789276353.814895363	456000000	36	0 21667811 22984518 47199221 690718254 1751512965 0 64765 0 709429 
1789276354.118481227	456000000	36	0 21667811 22984518 47199221 690718254 1751652635 0 64765 0 709429 
1789276354.425897091	456000000	45	0 21667811 22984518 47199221 690718254 1751789140 0 64765 0 709429 
1789276354.729212694	456000000	45	0 21667811 22984518 47199221 690718254 1751924169 0 64765 0 709429 
1789276355.034423974	456000000	45	0 21667811 22984518 47199221 690718254 1752060734 0 64765 0 709429 
1789276355.333598327	456000000	42	0 21667811 22984518 47199221 690718254 1752168456 0 64765 0 709429 
1789276355.637052316	456000000	42	0 21667811 22984518 47199221 690718254 1752295379 0 64765 0 709429 
1789276355.938945471	456000000	42	0 21667811 22984518 47199221 690718254 1752494438 0 64765 0 709429 
1789276356.236056646	456000000	42	0 21667811 22984518 47199221 690718254 1752709230 0 64765 0 709429 
1789276356.535266884	456000000	60	0 21667811 22984518 47199221 690718254 1752931596 0 64765 0 709429 
1789276356.839314623	456000000	60	0 21667811 22984518 47199221 690718254 1753158196 0 64765 0 709429 
1789276357.132742048	456000000	60	0 21667811 22984518 47199221 690718254 1753379222 0 64765 0 709429 
1789276357.430262078	456000000	74	0 21667811 22984518 47199221 690718254 1753603791 0 64765 0 709429 
1789276357.729325545	456000000	74	0 21667811 22984518 47199221 690718254 1753831409 0 64765 0 709429 
1789276358.031250783	456000000	74	0 21667811 22984518 47199221 690718254 1754011011 0 64765 0 709429 
1789276358.332446699	492000000	74	0 21667811 22984518 47199221 690774649 1754041608 0 64765 0 709429 
1789276358.629732405	492000000	57	0 21667811 22984518 47199221 690876491 1754041608 0 64765 0 709429 
1789276358.926752279	492000000	57	0 21667811 22984518 47199221 690979184 1754041608 0 64765 0 709429 
1789276359.221270641	492000000	57	0 21667811 22984518 47199221 691085992 1754041608 0 64765 0 709429 
1789276359.519365931	456000000	35	0 21667811 22984518 47199221 691102105 1754135989 0 64765 0 709429 
1789276359.815231430	456000000	35	0 21667811 22984518 47199221 691102105 1754247611 0 64765 0 709429 
1789276360.112004324	456000000	35	0 21667811 22984518 47199221 691102105 1754362104 0 64765 0 709429 
1789276360.409111958	456000000	37	0 21667811 22984518 47199221 691102105 1754473676 0 64765 0 709429 
1789276360.711046988	456000000	37	0 21667811 22984518 47199221 691102105 1754584529 0 64765 0 709429 
1789276361.011188476	456000000	37	0 21667811 22984518 47199221 691102105 1754697452 0 64765 0 709429 
1789276361.311006943	456000000	37	0 21667811 22984518 47199221 691102105 1754804706 0 64765 0 709429 
1789276361.609450358	456000000	36	0 21667811 22984518 47199221 691102105 1754907975 0 64765 0 709429 
1789276361.901904450	456000000	36	0 21667811 22984518 47199221 691102105 1755013513 0 64765 0 709429 
1789276362.197987136	456000000	36	0 21667811 22984518 47199221 691102105 1755120222 0 64765 0 709429 
1789276362.503127114	456000000	35	0 21667811 22984518 47199221 691102105 1755228429 0 64765 0 709429 
1789276362.804765269	456000000	35	0 21667811 22984518 47199221 691102105 1755333560 0 64765 0 709429 
1789276363.105105143	456000000	35	0 21667811 22984518 47199221 691102105 1755441107 0 64765 0 709429 
1789276363.400274339	456000000	35	0 21667811 22984518 47199221 691102105 1755547339 0 64765 0 709429 
1789276363.700858744	456000000	35	0 21667811 22984518 47199221 691102105 1755654233 0 64765 0 709429 
1789276364.004078462	456000000	35	0 21667811 22984518 47199221 691102105 1755762365 0 64765 0 709429 
1789276364.306374638	456000000	35	0 21667811 22984518 47199221 691102105 1755841180 0 64765 0 709429 
1789276364.608178105	456000000	33	0 21667811 22984518 47199221 691102105 1755997121 0 64765 0 709429 
1789276364.911275271	456000000	33	0 21667811 22984518 47199221 691102105 1756163227 0 64765 0 709429 
1789276365.216883791	456000000	33	0 21667811 22984518 47199221 691102105 1756351971 0 64765 0 709429 
1789276365.529679916	456000000	56	0 21667811 22984518 47199221 691102105 1756542036 0 64765 0 709429 
1789276365.838576821	456000000	56	0 21667811 22984518 47199221 691102105 1756732878 0 64765 0 709429 
1789276366.147736227	456000000	56	0 21667811 22984518 47199221 691102105 1756902205 0 64765 0 709429 
1789276366.448030268	456000000	56	0 21667811 22984518 47199221 691102105 1757048993 0 64765 0 709429 
1789276366.755333579	456000000	56	0 21667811 22984518 47199221 691102105 1757208112 0 64765 0 709429 
1789276367.057470016	456000000	56	0 21667811 22984518 47199221 691102105 1757271125 0 64765 0 709429 
1789276367.352139316	599000000	56	0 21667811 23117960 47211070 691112313 1757328088 0 64765 0 709429 
1789276367.649865283	545000000	48	0 21667811 23166543 47336441 691163327 1757328088 0 64765 0 709429 
1789276367.950172657	492000000	48	0 21667811 23166543 47459154 691283046 1757328088 0 64765 0 709429 
1789276368.247180447	492000000	48	0 21667811 23166543 47459154 691528824 1757328088 0 64765 0 709429 
1789276368.546467195	492000000	79	0 21667811 23166543 47459154 691779286 1757328088 0 64765 0 709429 
1789276368.848354100	492000000	79	0 21667811 23166543 47459154 692032207 1757328088 0 64765 0 709429 
1789276369.146439651	492000000	79	0 21667811 23166543 47459154 692278716 1757328088 0 64765 0 709429 
1789276369.443810462	492000000	83	0 21667811 23166543 47459154 692526174 1757328088 0 64765 0 709429 
