unix_t	window	slot	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	palm_y_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu	aim_pose
1789353337.5329	rest		R	1	0.0018	0.0025	0.0006	0.0023	0.1091	0.9990	-0.0522		0	0	0	0	1
1789353337.5441	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1057	0.9891	-0.1627		0	0	0	0	1
1789353337.5441	rest		R	1	0.0018	0.0025	0.0006	0.0023	0.1091	0.9990	-0.0525		0	0	0	0	1
1789353337.5550	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1057	0.9892	-0.1629		0	0	0	0	1
1789353337.5550	rest		R	1	0.0018	0.0025	0.0006	0.0023	0.1091	0.9991	-0.0534		0	0	0	0	1
1789353337.5662	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1057	0.9892	-0.1629		0	0	0	0	1
1789353337.5662	rest		R	1	0.0018	0.0025	0.0006	0.0023	0.1091	0.9991	-0.0540		0	0	0	0	1
1789353337.5775	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1057	0.9893	-0.1630		0	0	0	0	1
1789353337.5775	rest		R	1	0.0018	0.0025	0.0006	0.0023	0.1091	0.9991	-0.0545		0	0	0	0	1
1789353337.5884	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1057	0.9895	-0.1622		0	0	0	0	1
1789353337.5884	rest		R	1	0.0018	0.0025	0.0006	0.0023	0.1092	0.9992	-0.0535		0	0	0	0	1
1789353337.5996	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1058	0.9896	-0.1618		0	0	0	0	1
1789353337.5996	rest		R	1	0.0019	0.0025	0.0006	0.0023	0.1092	0.9992	-0.0533		0	0	0	0	1
1789353337.6109	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1058	0.9897	-0.1614		0	0	0	0	1
1789353337.6109	rest		R	1	0.0019	0.0025	0.0006	0.0023	0.1092	0.9993	-0.0530		0	0	0	0	1
1789353337.6218	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1058	0.9898	-0.1611		0	0	0	0	1
1789353337.6218	rest		R	1	0.0019	0.0025	0.0006	0.0023	0.1093	0.9993	-0.0528		0	0	0	0	1
1789353337.6330	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1058	0.9898	-0.1614		0	0	0	0	1
1789353337.6330	rest		R	1	0.0019	0.0026	0.0006	0.0023	0.1093	0.9993	-0.0531		0	0	0	0	1
1789353337.6441	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1059	0.9898	-0.1613		0	0	0	0	1
1789353337.6441	rest		R	1	0.0019	0.0026	0.0006	0.0023	0.1093	0.9993	-0.0531		0	0	0	0	1
1789353337.6549	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1059	0.9899	-0.1612		0	0	0	0	1
1789353337.6549	rest		R	1	0.0019	0.0026	0.0006	0.0023	0.1093	0.9993	-0.0531		0	0	0	0	1
1789353337.6661	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1059	0.9899	-0.1612		0	0	0	0	1
1789353337.6661	rest		R	1	0.0019	0.0026	0.0006	0.0023	0.1094	0.9993	-0.0531		0	0	0	0	1
1789353337.6774	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1059	0.9898	-0.1620		0	0	0	0	1
1789353337.6774	rest		R	1	0.0019	0.0026	0.0006	0.0022	0.1094	0.9994	-0.0523		0	0	0	0	1
1789353337.6885	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1059	0.9898	-0.1623		0	0	0	0	1
1789353337.6885	rest		R	1	0.0019	0.0026	0.0006	0.0022	0.1094	0.9994	-0.0520		0	0	0	0	1
1789353337.6995	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1059	0.9898	-0.1626		0	0	0	0	1
1789353337.6995	rest		R	1	0.0019	0.0026	0.0006	0.0022	0.1094	0.9994	-0.0517		0	0	0	0	1
1789353337.7107	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1060	0.9900	-0.1618		0	0	0	0	1
1789353337.7107	rest		R	1	0.0019	0.0026	0.0006	0.0022	0.1094	0.9994	-0.0511		0	0	0	0	1
1789353337.7218	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1060	0.9900	-0.1616		0	0	0	0	1
1789353337.7218	rest		R	1	0.0019	0.0026	0.0006	0.0022	0.1094	0.9994	-0.0507		0	0	0	0	1
1789353337.7331	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1060	0.9901	-0.1614		0	0	0	0	1
1789353337.7331	rest		R	1	0.0019	0.0026	0.0006	0.0022	0.1094	0.9994	-0.0502		0	0	0	0	1
1789353337.7439	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1060	0.9901	-0.1612		0	0	0	0	1
1789353337.7439	rest		R	1	0.0019	0.0026	0.0006	0.0022	0.1094	0.9994	-0.0498		0	0	0	0	1
1789353337.7550	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1061	0.9904	-0.1600		0	0	0	0	1
1789353337.7550	rest		R	1	0.0019	0.0026	0.0006	0.0022	0.1095	0.9994	-0.0487		0	0	0	0	1
1789353337.7663	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1061	0.9905	-0.1594		0	0	0	0	1
1789353337.7663	rest		R	1	0.0019	0.0026	0.0006	0.0022	0.1095	0.9995	-0.0480		0	0	0	0	1
1789353337.7775	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1061	0.9906	-0.1589		0	0	0	0	1
1789353337.7775	rest		R	1	0.0019	0.0026	0.0006	0.0022	0.1095	0.9995	-0.0473		0	0	0	0	1
1789353337.7883	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1061	0.9905	-0.1595		0	0	0	0	1
1789353337.7883	rest		R	1	0.0019	0.0026	0.0006	0.0021	0.1095	0.9995	-0.0459		0	0	0	0	1
1789353337.7996	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1062	0.9906	-0.1595		0	0	0	0	1
1789353337.7996	rest		R	1	0.0019	0.0026	0.0006	0.0021	0.1095	0.9995	-0.0448		0	0	0	0	1
1789353337.8107	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1062	0.9906	-0.1595		0	0	0	0	1
1789353337.8107	rest		R	1	0.0019	0.0026	0.0006	0.0021	0.1095	0.9995	-0.0437		0	0	0	0	1
1789353337.8219	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1062	0.9906	-0.1594		0	0	0	0	1
1789353337.8219	rest		R	1	0.0019	0.0026	0.0006	0.0021	0.1096	0.9995	-0.0426		0	0	0	0	1
1789353337.8328	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1062	0.9906	-0.1598		0	0	0	0	1
1789353337.8328	rest		R	1	0.0019	0.0027	0.0006	0.0021	0.1096	0.9996	-0.0421		0	0	0	0	1
1789353337.8438	rest		L	1	0.0016	0.0023	0.0004	0.0036	0.1062	0.9906	-0.1599		0	0	0	0	1
1789353337.8438	rest		R	1	0.0019	0.0027	0.0006	0.0021	0.1096	0.9996	-0.0412		0	0	0	0	1
1789353337.8551	rest		L	1	0.0016	0.0023	0.0004	0.0036	0.1062	0.9906	-0.1600		0	0	0	0	1
1789353337.8551	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1096	0.9996	-0.0403		0	0	0	0	1
1789353337.8662	rest		L	1	0.0016	0.0023	0.0004	0.0036	0.1063	0.9906	-0.1602		0	0	0	0	1
1789353337.8662	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1096	0.9996	-0.0395		0	0	0	0	1
1789353337.8774	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1062	0.9904	-0.1614		0	0	0	0	1
1789353337.8774	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1096	0.9996	-0.0407		0	0	0	0	1
1789353337.8884	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1063	0.9904	-0.1621		0	0	0	0	1
1789353337.8884	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1096	0.9996	-0.0407		0	0	0	0	1
1789353337.8995	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1063	0.9903	-0.1626		0	0	0	0	1
1789353337.8995	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0407		0	0	0	0	1
1789353337.9105	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1063	0.9902	-0.1631		0	0	0	0	1
1789353337.9105	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0404		0	0	0	0	1
1789353337.9217	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1063	0.9901	-0.1637		0	0	0	0	1
1789353337.9217	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0402		0	0	0	0	1
1789353337.9330	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1063	0.9900	-0.1642		0	0	0	0	1
1789353337.9330	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0400		0	0	0	0	1
1789353337.9438	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1063	0.9900	-0.1647		0	0	0	0	1
1789353337.9438	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0399		0	0	0	0	1
1789353337.9549	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1063	0.9900	-0.1646		0	0	0	0	1
