1789698609.983	intent	lens	14.5	4.0	4.0	7	face					{ "do": "reload", "view": "browse", "folder": "" }
1789698612.316	folder	lens	14.5	4.0	4.0	7	face	settings				{ "folder": "settings", "view": "browse", "items": 4, "total": 4, "page": 1, "pages": 1 }
1789698612.316	intent	lens	14.5	4.0	4.0	7	face	settings				{ "do": "reload", "view": "browse", "folder": "settings" }
1789698614.372	folder	lens	14.5	4.0	4.0	7	face	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789698614.376	intent	lens	14.5	4.0	4.0	7	face	settings_sphere				{ "do": "reload", "view": "browse", "folder": "settings_sphere" }
1789698616.268	настройка_открыта	lens	14.5	4.0	4.0	7	face	settings_sphere				surface
1789698616.268	intent	lens	14.5	4.0	4.0	7	face	settings_sphere				{ "do": "edit", "view": "browse", "folder": "settings_sphere", "setting": "surface" }
1789698618.563	folder	globe	14.5	4.0	3.99	7	face	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789698618.563	настройка_значение	globe	14.5	4.0	3.99	7	face	settings_sphere				surface=globe
1789698619.561	панель_кнопка	globe	14.5	4.0	3.99	7	face	settings_sphere				done
1789698619.563	настройка_сохранена	globe	14.5	4.0	3.99	7	face	settings_sphere				surface=globe
1789698622.572	shake	globe	14.5	4.0	3.99	7	face					{ "how": "shake", "from": "settings_sphere" }
1789698622.573	folder	globe	14.5	4.0	3.99	7	face					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789698622.574	intent	globe	14.5	4.0	3.99	7	face					{ "do": "reload", "view": "browse", "folder": "" }
1789698624.018	folder	globe	14.5	4.0	3.99	7	face	files				{ "folder": "files", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789698624.018	intent	globe	14.5	4.0	3.99	7	face	files				{ "do": "reload", "view": "browse", "folder": "files" }
1789698627.217	folder	globe	14.5	4.0	3.99	7	face	bulk				{ "folder": "bulk", "view": "browse", "items": 128, "total": 128, "page": 1, "pages": 1 }
1789698627.217	intent	globe	14.5	4.0	3.99	7	face	bulk				{ "do": "reload", "view": "browse", "folder": "bulk" }
1789698631.718	folder	globe	14.5	4.0	3.99	7	face	files				{ "folder": "files", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789698631.718	intent	globe	14.5	4.0	3.99	7	face	files				{ "do": "reload", "view": "browse", "folder": "files" }
1789698634.108	folder	globe	14.5	4.0	3.99	7	face					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789698634.108	intent	globe	14.5	4.0	3.99	7	face					{ "do": "reload", "view": "browse", "folder": "" }
1789698636.575	folder	globe	14.5	4.0	3.99	7	face	settings				{ "folder": "settings", "view": "browse", "items": 4, "total": 4, "page": 1, "pages": 1 }
1789698636.575	intent	globe	14.5	4.0	3.99	7	face	settings				{ "do": "reload", "view": "browse", "folder": "settings" }
1789698637.531	folder	globe	14.5	4.0	3.99	7	face	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789698637.531	intent	globe	14.5	4.0	3.99	7	face	settings_sphere				{ "do": "reload", "view": "browse", "folder": "settings_sphere" }
1789698642.366	настройка_открыта	globe	14.5	4.0	3.99	7	face	settings_sphere				radius_cm
1789698642.366	intent	globe	14.5	4.0	3.99	7	face	settings_sphere				{ "do": "edit", "view": "browse", "folder": "settings_sphere", "setting": "radius_cm" }
1789698644.709	folder	globe	10.5	4.0	4.2	4	face	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789698644.710	настройка_значение	globe	10.5	4.0	4.2	4	face	settings_sphere				radius_cm=10.5
