# сэмплер частоты GPU, период 0.5 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789437601.662761620	456000000	66	0 41793524 86070936 170287853 1071675501 2948344530 74444 76541 11845 1242547 
1789437602.211899279	456000000	66	0 41793524 86070936 170287853 1071675501 2948706993 74444 76541 11845 1242547 
1789437602.758963500	456000000	66	0 41793524 86070936 170287853 1071675501 2949074692 74444 76541 11845 1242547 
1789437603.312442461	456000000	66	0 41793524 86070936 170287853 1071675501 2949440876 74444 76541 11845 1242547 
1789437603.857853505	456000000	66	0 41793524 86070936 170287853 1071675501 2949808711 74444 76541 11845 1242547 
1789437604.413361061	456000000	66	0 41793524 86070936 170287853 1071675501 2950174931 74444 76541 11845 1242547 
1789437604.964690543	456000000	66	0 41793524 86070936 170287853 1071675501 2950540803 74444 76541 11845 1242547 
1789437605.510993774	456000000	66	0 41793524 86070936 170287853 1071675501 2950904987 74444 76541 11845 1242547 
1789437606.061651746	456000000	66	0 41793524 86070936 170287853 1071675501 2951275050 74444 76541 11845 1242547 
1789437606.615698103	456000000	66	0 41793524 86070936 170287853 1071675501 2951638216 74444 76541 11845 1242547 
1789437607.166179981	456000000	66	0 41793524 86070936 170287853 1071675501 2952003330 74444 76541 11845 1242547 
1789437607.709768108	456000000	66	0 41793524 86070936 170287853 1071675501 2952365521 74444 76541 11845 1242547 
1789437608.263206444	456000000	66	0 41793524 86070936 170287853 1071675501 2952729651 74444 76541 11845 1242547 
1789437608.808379728	456000000	66	0 41793524 86070936 170287853 1071675501 2953092871 74444 76541 11845 1242547 
1789437609.358421085	456000000	66	0 41793524 86070936 170287853 1071675501 2953454589 74444 76541 11845 1242547 
1789437609.905951608	456000000	66	0 41793524 86070936 170287853 1071675501 2953821156 74444 76541 11845 1242547 
1789437610.454472808	456000000	66	0 41793524 86070936 170287853 1071675501 2954185368 74444 76541 11845 1242547 
1789437611.004040728	456000000	66	0 41793524 86070936 170287853 1071675501 2954553146 74444 76541 11845 1242547 
1789437611.556338387	456000000	66	0 41793524 86070936 170287853 1071675501 2954916086 74444 76541 11845 1242547 
1789437612.105762712	456000000	66	0 41793524 86070936 170287853 1071675501 2955283988 74444 76541 11845 1242547 
1789437612.658181622	456000000	66	0 41793524 86070936 170287853 1071675501 2955651327 74444 76541 11845 1242547 
1789437613.210027406	456000000	66	0 41793524 86070936 170287853 1071675501 2956013787 74444 76541 11845 1242547 
1789437613.758585794	456000000	66	0 41793524 86070936 170287853 1071675501 2956378531 74444 76541 11845 1242547 
1789437614.302136785	456000000	66	0 41793524 86070936 170287853 1071675501 2956743972 74444 76541 11845 1242547 
1789437614.856000174	456000000	66	0 41793524 86070936 170287853 1071675501 2957108558 74444 76541 11845 1242547 
1789437615.403563562	456000000	66	0 41793524 86070936 170287853 1071675501 2957470347 74444 76541 11845 1242547 
