# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789242050.538519157	456000000	55	0 13930127 20993223 41587016 672610787 1681275612 0 64765 0 697018 
1789242050.851647782	456000000	55	0 13930127 20993223 41587016 672610787 1681460213 0 64765 0 697018 
1789242051.159124583	456000000	55	0 13930127 20993223 41587016 672610787 1681650184 0 64765 0 697018 
1789242051.468506229	456000000	60	0 13930127 20993223 41587016 672610787 1681841549 0 64765 0 697018 
1789242051.781017770	456000000	60	0 13930127 20993223 41587016 672610787 1682029323 0 64765 0 697018 
1789242052.083013686	456000000	60	0 13930127 20993223 41587016 672610787 1682200469 0 64765 0 697018 
1789242052.380660122	456000000	60	0 13930127 20993223 41587016 672610787 1682344261 0 64765 0 697018 
1789242052.678932183	456000000	56	0 13930127 20993223 41587016 672610787 1682514249 0 64765 0 697018 
1789242052.982317265	456000000	56	0 13930127 20993223 41587016 672610787 1682714427 0 64765 0 697018 
1789242053.290798025	456000000	56	0 13930127 20993223 41587016 672610787 1682923872 0 64765 0 697018 
1789242053.596334722	456000000	64	0 13930127 20993223 41587016 672610787 1683135377 0 64765 0 697018 
1789242053.900934492	456000000	64	0 13930127 20993223 41587016 672610787 1683340994 0 64765 0 697018 
1789242054.208487283	456000000	64	0 13930127 20993223 41587016 672610787 1683545699 0 64765 0 697018 
1789242054.524759502	456000000	67	0 13930127 20993223 41587016 672610787 1683752958 0 64765 0 697018 
1789242054.831654949	456000000	67	0 13930127 20993223 41587016 672610787 1683912741 0 64765 0 697018 
1789242055.140669876	492000000	67	0 13930127 20993223 41587016 672725473 1683997099 0 64765 0 697018 
1789242055.441738291	492000000	61	0 13930127 20993223 41587016 672923118 1683997099 0 64765 0 697018 
1789242055.745089207	492000000	61	0 13930127 20993223 41587016 673115015 1683997099 0 64765 0 697018 
1789242056.049695852	456000000	61	0 13930127 20993223 41587016 673297414 1684010524 0 64765 0 697018 
1789242056.346242392	456000000	61	0 13930127 20993223 41587016 673297414 1684212117 0 64765 0 697018 
1789242056.645240130	456000000	65	0 13930127 20993223 41587016 673297414 1684430900 0 64765 0 697018 
1789242056.952636254	456000000	65	0 13930127 20993223 41587016 673297414 1684643845 0 64765 0 697018 
1789242057.256240035	456000000	65	0 13930127 20993223 41587016 673297414 1684861408 0 64765 0 697018 
