# память GPU процесса org.flamti.vrge.probe (PID 31747), период 1 с
# unix_время	тип	total_KB	mapped_KB	count
1789398295.771531678	vk_program	212	212	3
1789398295.771531678	vk_queue	8232	8232	3
1789398296.798722666	any(0)	660	84	13
1789398296.798722666	command	32	32	2
1789398296.798722666	gl	128	128	2
1789398296.798722666	vk_any	960	960	15
1789398296.798722666	vk_cmdbuffer	1008	1008	48
1789398296.798722666	vk_descriptorpo	640	640	17
1789398296.798722666	vk_device	212	212	10
1789398296.798722666	vk_devicememory	298712	229376	7
1789398296.798722666	vk_image	224	224	3
1789398296.798722666	vk_program	212	212	3
1789398296.798722666	vk_queue	8232	8232	3
1789398297.821933601	any(0)	660	84	13
1789398297.821933601	command	32	32	2
1789398297.821933601	gl	128	128	2
1789398297.821933601	vk_any	960	960	15
1789398297.821933601	vk_cmdbuffer	1032	1032	51
1789398297.821933601	vk_descriptorpo	656	656	18
1789398297.821933601	vk_device	212	212	10
1789398297.821933601	vk_devicememory	298712	229376	7
1789398297.821933601	vk_image	224	224	3
1789398297.821933601	vk_program	212	212	3
1789398297.821933601	vk_queue	8232	8232	3
1789398298.845348130	any(0)	660	84	13
1789398298.845348130	command	32	32	2
1789398298.845348130	gl	128	128	2
1789398298.845348130	vk_any	960	960	15
1789398298.845348130	vk_cmdbuffer	1032	1032	51
1789398298.845348130	vk_descriptorpo	656	656	18
1789398298.845348130	vk_device	212	212	10
1789398298.845348130	vk_devicememory	298712	229376	7
1789398298.845348130	vk_image	224	224	3
1789398298.845348130	vk_program	212	212	3
1789398298.845348130	vk_queue	8232	8232	3
1789398299.869407815	any(0)	660	84	13
1789398299.869407815	command	32	32	2
1789398299.869407815	gl	128	128	2
1789398299.869407815	vk_any	960	960	15
1789398299.869407815	vk_cmdbuffer	1032	1032	51
1789398299.869407815	vk_descriptorpo	656	656	18
1789398299.869407815	vk_device	212	212	10
1789398299.869407815	vk_devicememory	298712	229376	7
1789398299.869407815	vk_image	224	224	3
1789398299.869407815	vk_program	212	212	3
1789398299.869407815	vk_queue	8232	8232	3
1789398300.891903594	any(0)	660	84	13
1789398300.891903594	command	32	32	2
1789398300.891903594	gl	128	128	2
1789398300.891903594	vk_any	960	960	15
1789398300.891903594	vk_cmdbuffer	1240	1240	55
1789398300.891903594	vk_descriptorpo	656	656	18
1789398300.891903594	vk_device	212	212	10
1789398300.891903594	vk_devicememory	298712	229376	7
1789398300.891903594	vk_image	224	224	3
1789398300.891903594	vk_program	212	212	3
1789398300.891903594	vk_queue	8232	8232	3
1789398301.913973800	any(0)	660	84	13
1789398301.913973800	command	32	32	2
1789398301.913973800	gl	128	128	2
1789398301.913973800	vk_any	960	960	15
1789398301.913973800	vk_cmdbuffer	1304	1304	56
1789398301.913973800	vk_descriptorpo	656	656	18
1789398301.913973800	vk_device	212	212	10
1789398301.913973800	vk_devicememory	298712	229376	7
1789398301.913973800	vk_image	224	224	3
1789398301.913973800	vk_program	212	212	3
1789398301.913973800	vk_queue	8232	8232	3
1789398302.937687184	any(0)	660	84	13
1789398302.937687184	command	32	32	2
1789398302.937687184	gl	128	128	2
1789398302.937687184	vk_any	960	960	15
1789398302.937687184	vk_cmdbuffer	1304	1304	56
