# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789398270.004094892	456000000	16	0 27148209 61657569 125737205 976989508 2302994076 74444 76541 11845 1195928 
1789398270.328558310	456000000	16	0 27148209 61657569 125737205 976989508 2303024716 74444 76541 11845 1195928 
1789398270.637588132	456000000	16	0 27148209 61657569 125737205 976989508 2303082972 74444 76541 11845 1195928 
1789398270.932545818	456000000	18	0 27148209 61657569 125737205 976989508 2303224512 74444 76541 11845 1195928 
1789398271.237817828	492000000	18	0 27148209 61657569 125737205 977094639 2303247682 74444 76541 11845 1195928 
1789398271.535319107	492000000	18	0 27148209 61657569 125737205 977210972 2303247682 74444 76541 11845 1195928 
1789398271.832077418	492000000	42	0 27148209 61657569 125737205 977330471 2303247682 74444 76541 11845 1195928 
1789398272.131451406	456000000	42	0 27148209 61657569 125737205 977432462 2303265698 74444 76541 11845 1195928 
1789398272.426583415	456000000	42	0 27148209 61657569 125737205 977432462 2303391778 74444 76541 11845 1195928 
1789398272.728072143	456000000	42	0 27148209 61657569 125737205 977432462 2303518193 74444 76541 11845 1195928 
1789398273.030270090	456000000	41	0 27148209 61657569 125737205 977432462 2303644354 74444 76541 11845 1195928 
1789398273.327750953	456000000	41	0 27148209 61657569 125737205 977432462 2303770207 74444 76541 11845 1195928 
1789398273.629354212	456000000	41	0 27148209 61657569 125737205 977432462 2303880249 74444 76541 11845 1195928 
1789398273.926818825	456000000	39	0 27148209 61657569 125737205 977432462 2303984708 74444 76541 11845 1195928 
1789398274.220532239	456000000	39	0 27148209 61657569 125737205 977432462 2304089828 74444 76541 11845 1195928 
1789398274.520187165	456000000	39	0 27148209 61657569 125737205 977432462 2304195936 74444 76541 11845 1195928 
1789398274.819510945	456000000	35	0 27148209 61657569 125737205 977432462 2304302570 74444 76541 11845 1195928 
1789398275.121299673	456000000	35	0 27148209 61657569 125737205 977432462 2304408968 74444 76541 11845 1195928 
1789398275.415685900	456000000	35	0 27148209 61657569 125737205 977432462 2304516435 74444 76541 11845 1195928 
1789398275.715327909	456000000	35	0 27148209 61657569 125737205 977432462 2304627907 74444 76541 11845 1195928 
1789398276.014696533	456000000	36	0 27148209 61657569 125737205 977432462 2304738799 74444 76541 11845 1195928 
1789398276.315106771	456000000	36	0 27148209 61657569 125737205 977432462 2304851900 74444 76541 11845 1195928 
1789398276.613512478	456000000	36	0 27148209 61657569 125737205 977432462 2304957633 74444 76541 11845 1195928 
1789398276.911465945	456000000	36	0 27148209 61657569 125737205 977432462 2305062898 74444 76541 11845 1195928 
1789398277.210591548	456000000	36	0 27148209 61657569 125737205 977432462 2305168576 74444 76541 11845 1195928 
1789398277.509102880	456000000	36	0 27148209 61657569 125737205 977432462 2305275123 74444 76541 11845 1195928 
1789398277.810385201	456000000	36	0 27148209 61657569 125737205 977432462 2305381806 74444 76541 11845 1195928 
1789398278.107476481	456000000	35	0 27148209 61657569 125737205 977432462 2305487262 74444 76541 11845 1195928 
1789398278.407673646	456000000	35	0 27148209 61657569 125737205 977432462 2305592602 74444 76541 11845 1195928 
1789398278.705244457	456000000	35	0 27148209 61657569 125737205 977432462 2305696080 74444 76541 11845 1195928 
1789398279.005584227	456000000	35	0 27148209 61657569 125737205 977432462 2305803591 74444 76541 11845 1195928 
1789398279.305524048	456000000	35	0 27148209 61657569 125737205 977432462 2305910006 74444 76541 11845 1195928 
1789398279.602961890	456000000	35	0 27148209 61657569 125737205 977432462 2306015682 74444 76541 11845 1195928 
1789398279.902589264	456000000	35	0 27148209 61657569 125737205 977432462 2306121199 74444 76541 11845 1195928 
1789398280.199471741	456000000	35	0 27148209 61657569 125737205 977432462 2306226936 74444 76541 11845 1195928 
1789398280.493699166	456000000	35	0 27148209 61657569 125737205 977432462 2306331242 74444 76541 11845 1195928 
1789398280.790082373	456000000	35	0 27148209 61657569 125737205 977432462 2306436123 74444 76541 11845 1195928 
1789398281.085806257	456000000	35	0 27148209 61657569 125737205 977432462 2306541071 74444 76541 11845 1195928 
1789398281.385801964	456000000	35	0 27148209 61657569 125737205 977432462 2306646889 74444 76541 11845 1195928 
1789398281.686996212	456000000	35	0 27148209 61657569 125737205 977432462 2306685928 74444 76541 11845 1195928 
1789398282.006336713	456000000	25	0 27148209 61657569 125737205 977432462 2306716464 74444 76541 11845 1195928 
1789398282.321476536	456000000	25	0 27148209 61657569 125737205 977432462 2306746935 74444 76541 11845 1195928 
1789398282.628527869	456000000	25	0 27148209 61657569 125737205 977432462 2306792104 74444 76541 11845 1195928 
1789398282.923840398	492000000	16	0 27148209 61657569 125737205 977448608 2306888611 74444 76541 11845 1195928 
1789398283.221482459	492000000	16	0 27148209 61657569 125737205 977554575 2306888611 74444 76541 11845 1195928 
1789398283.514912749	492000000	16	0 27148209 61657569 125737205 977661274 2306888611 74444 76541 11845 1195928 
1789398283.809938924	492000000	16	0 27148209 61657569 125737205 977770422 2306888611 74444 76541 11845 1195928 
1789398284.105813485	456000000	36	0 27148209 61657569 125737205 977840027 2306931547 74444 76541 11845 1195928 
1789398284.409354244	456000000	36	0 27148209 61657569 125737205 977840027 2307046846 74444 76541 11845 1195928 
1789398284.707535367	456000000	36	0 27148209 61657569 125737205 977840027 2307163000 74444 76541 11845 1195928 
1789398285.006384356	456000000	38	0 27148209 61657569 125737205 977840027 2307276513 74444 76541 11845 1195928 
1789398285.306266104	456000000	38	0 27148209 61657569 125737205 977840027 2307376752 74444 76541 11845 1195928 
1789398285.612681708	456000000	38	0 27148209 61657569 125737205 977840027 2307520589 74444 76541 11845 1195928 
1789398285.923581530	456000000	41	0 27148209 61657569 125737205 977840027 2307671858 74444 76541 11845 1195928 
1789398286.227999998	456000000	41	0 27148209 61657569 125737205 977840027 2307819443 74444 76541 11845 1195928 
1789398286.529145809	456000000	41	0 27148209 61657569 125737205 977840027 2307964013 74444 76541 11845 1195928 
1789398286.831125266	456000000	48	0 27148209 61657569 125737205 977840027 2308108208 74444 76541 11845 1195928 
1789398287.135726703	456000000	48	0 27148209 61657569 125737205 977840027 2308255886 74444 76541 11845 1195928 
1789398287.435412827	456000000	48	0 27148209 61657569 125737205 977840027 2308402183 74444 76541 11845 1195928 
1789398287.740555774	456000000	48	0 27148209 61657569 125737205 977840027 2308547904 74444 76541 11845 1195928 
1789398288.045999606	456000000	48	0 27148209 61657569 125737205 977840027 2308698608 74444 76541 11845 1195928 
1789398288.350426460	456000000	48	0 27148209 61657569 125737205 977840027 2308802755 74444 76541 11845 1195928 
1789398288.645747426	456000000	48	0 27148209 61657569 125737205 977840027 2308939572 74444 76541 11845 1195928 
1789398288.945525529	456000000	43	0 27148209 61657569 125737205 977840027 2309094002 74444 76541 11845 1195928 
1789398289.257182696	456000000	43	0 27148209 61657569 125737205 977840027 2309261097 74444 76541 11845 1195928 
1789398289.561123611	456000000	43	0 27148209 61657569 125737205 977840027 2309422713 74444 76541 11845 1195928 
1789398289.865029735	456000000	53	0 27148209 61657569 125737205 977840027 2309576679 74444 76541 11845 1195928 
