# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789310400.842222489	456000000	49	0 23308971 32015643 70224870 882694687 1931250506 0 64765 0 773435 
1789310401.145283874	456000000	49	0 23308971 32015643 70224870 882694687 1931373134 0 64765 0 773435 
1789310401.445042862	456000000	49	0 23308971 32015643 70224870 882694687 1931492614 0 64765 0 773435 
1789310401.745015965	456000000	43	0 23308971 32015643 70224870 882694687 1931611495 0 64765 0 773435 
1789310402.041801202	456000000	43	0 23308971 32015643 70224870 882694687 1931730468 0 64765 0 773435 
1789310402.342062274	456000000	43	0 23308971 32015643 70224870 882694687 1931850326 0 64765 0 773435 
1789310402.644602408	456000000	39	0 23308971 32015643 70224870 882694687 1931969527 0 64765 0 773435 
1789310402.940177907	456000000	39	0 23308971 32015643 70224870 882694687 1932088893 0 64765 0 773435 
1789310403.243831583	456000000	39	0 23308971 32015643 70224870 882694687 1932208107 0 64765 0 773435 
1789310403.539516091	456000000	39	0 23308971 32015643 70224870 882694687 1932323342 0 64765 0 773435 
1789310403.832878256	456000000	39	0 23308971 32015643 70224870 882694687 1932441231 0 64765 0 773435 
1789310404.128941358	456000000	39	0 23308971 32015643 70224870 882694687 1932559866 0 64765 0 773435 
1789310404.428720763	456000000	39	0 23308971 32015643 70224870 882694687 1932685334 0 64765 0 773435 
1789310404.723489490	456000000	41	0 23308971 32015643 70224870 882694687 1932810041 0 64765 0 773435 
1789310405.019480093	456000000	41	0 23308971 32015643 70224870 882694687 1932937728 0 64765 0 773435 
1789310405.317208248	456000000	41	0 23308971 32015643 70224870 882694687 1933064160 0 64765 0 773435 
1789310405.615016090	456000000	42	0 23308971 32015643 70224870 882694687 1933191711 0 64765 0 773435 
1789310405.915931953	456000000	42	0 23308971 32015643 70224870 882694687 1933323560 0 64765 0 773435 
1789310406.215551202	456000000	42	0 23308971 32015643 70224870 882694687 1933452297 0 64765 0 773435 
1789310406.517917638	456000000	42	0 23308971 32015643 70224870 882694687 1933582950 0 64765 0 773435 
1789310406.816338918	456000000	43	0 23308971 32015643 70224870 882694687 1933709622 0 64765 0 773435 
1789310407.117677333	456000000	43	0 23308971 32015643 70224870 882694687 1933839486 0 64765 0 773435 
1789310407.415083300	456000000	43	0 23308971 32015643 70224870 882694687 1933966456 0 64765 0 773435 
1789310407.712553538	456000000	42	0 23308971 32015643 70224870 882694687 1934094364 0 64765 0 773435 
1789310408.010614037	456000000	42	0 23308971 32015643 70224870 882694687 1934223817 0 64765 0 773435 
1789310408.306148649	456000000	42	0 23308971 32015643 70224870 882694687 1934348497 0 64765 0 773435 
1789310408.601541960	456000000	42	0 23308971 32015643 70224870 882694687 1934476882 0 64765 0 773435 
1789310408.901585636	456000000	42	0 23308971 32015643 70224870 882694687 1934604864 0 64765 0 773435 
1789310409.198271707	456000000	42	0 23308971 32015643 70224870 882694687 1934733750 0 64765 0 773435 
1789310409.495503195	456000000	42	0 23308971 32015643 70224870 882694687 1934859797 0 64765 0 773435 
1789310409.789179422	456000000	42	0 23308971 32015643 70224870 882694687 1934987136 0 64765 0 773435 
1789310410.085515806	456000000	42	0 23308971 32015643 70224870 882694687 1935113342 0 64765 0 773435 
