# unix_время	FPS_прил	FPS_дисплей	Stale	ASW	GPU_МГц	App_мс	CPU&GPU_мс	Preempt	Temp_C	GPU%	строка
1789437257.002	83	90	9		456	3.46	5.40	172	37.0	0.44	FPS=83/90,Prd=26ms,Tear=0,Early=14,Stale=9,Stale2/5/10/max=0/1/0/9,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1920/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1555MHz,Free=3695MB,PLS=0,Temp=37.0C/0.0C,TW=1.40ms,App=3.46ms,GD=0.00ms,CPU&GPU=5.40ms,LCnt=1(DR90,LM0),GPU%=0.44,CPU%=0.24(W0.28),CFL=13.02/17.22,ICFLp95=16.22,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=172,PoseAgeP95=0.00
1789437258.002	90	90	0		456	3.51	6.27	200	37.0	0.47	FPS=90/90,Prd=26ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1920/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1555MHz,Free=3695MB,PLS=0,Temp=37.0C/0.0C,TW=1.37ms,App=3.51ms,GD=0.00ms,CPU&GPU=6.27ms,LCnt=1(DR90,LM0),GPU%=0.47,CPU%=0.24(W0.26),CFL=12.95/17.25,ICFLp95=16.32,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=200,PoseAgeP95=0.00
1789437259.002	90	90	0		456	3.15	5.82	184	37.0	0.43	FPS=90/90,Prd=25ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1920/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1555MHz,Free=3695MB,PLS=0,Temp=37.0C/0.0C,TW=1.06ms,App=3.15ms,GD=0.00ms,CPU&GPU=5.82ms,LCnt=1(DR91,LM0),GPU%=0.43,CPU%=0.23(W0.31),CFL=13.04/16.97,ICFLp95=16.18,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=184,PoseAgeP95=0.00
1789437260.002	81	90	11		456	3.61	7.07	178	37.0	0.47	FPS=81/90,Prd=27ms,Tear=0,Early=17,Stale=11,Stale2/5/10/max=0/0/1/11,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1920/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1555MHz,Free=3695MB,PLS=0,Temp=37.0C/0.0C,TW=1.41ms,App=3.61ms,GD=0.00ms,CPU&GPU=7.07ms,LCnt=1(DR90,LM0),GPU%=0.47,CPU%=0.25(W0.34),CFL=12.89/17.25,ICFLp95=16.12,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=178,PoseAgeP95=0.00
1789437261.002	90	90	0		456	4.03	6.61	182	37.0	0.49	FPS=90/90,Prd=25ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=2092MHz,Free=3695MB,PLS=0,Temp=37.0C/0.0C,TW=1.60ms,App=4.03ms,GD=0.00ms,CPU&GPU=6.61ms,LCnt=1(DR90,LM0),GPU%=0.49,CPU%=0.22(W0.26),CFL=12.82/16.96,ICFLp95=16.02,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=182,PoseAgeP95=0.00
1789437262.002	82	90	13		456	4.03	7.26	178	37.0	0.51	FPS=82/90,Prd=25ms,Tear=1,Early=17,Stale=13,Stale2/5/10/max=0/0/1/13,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=3/3,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=2092MHz,Free=3695MB,PLS=0,Temp=37.0C/0.0C,TW=1.39ms,App=4.03ms,GD=0.00ms,CPU&GPU=7.26ms,LCnt=1(DR91,LM0),GPU%=0.51,CPU%=0.26(W0.32),CFL=12.71/17.23,ICFLp95=16.13,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=178,PoseAgeP95=0.00
1789437263.002	90	90	0		456	3.98	6.61	216	37.0	0.48	FPS=90/90,Prd=29ms,Tear=0,Early=6,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=2092MHz,Free=3695MB,PLS=0,Temp=37.0C/0.0C,TW=1.05ms,App=3.98ms,GD=0.00ms,CPU&GPU=6.61ms,LCnt=1(DR90,LM0),GPU%=0.48,CPU%=0.22(W0.30),CFL=12.85/17.15,ICFLp95=16.21,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=216,PoseAgeP95=0.00
1789437264.002	90	90	0		456	5.10	7.17	180	37.0	0.44	FPS=90/90,Prd=25ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=2092MHz,Free=3695MB,PLS=0,Temp=37.0C/0.0C,TW=1.12ms,App=5.10ms,GD=0.00ms,CPU&GPU=7.17ms,LCnt=1(DR90,LM0),GPU%=0.44,CPU%=0.21(W0.26),CFL=12.64/16.65,ICFLp95=15.83,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=180,PoseAgeP95=0.00
1789437265.002	76	90	18		456	5.78	9.23	213	37.0	0.59	FPS=76/90,Prd=29ms,Tear=1,Early=18,Stale=18,Stale2/5/10/max=0/0/1/18,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=3/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=2092MHz,Free=3695MB,PLS=0,Temp=37.0C/0.0C,TW=1.11ms,App=5.78ms,GD=0.00ms,CPU&GPU=9.23ms,LCnt=1(DR91,LM0),GPU%=0.59,CPU%=0.25(W0.38),CFL=12.61/16.69,ICFLp95=15.94,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=213,PoseAgeP95=0.00
1789437266.002	90	90	0		456	6.07	10.52	358	37.0	0.65	FPS=90/90,Prd=29ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=2092MHz,Free=3695MB,PLS=0,Temp=37.0C/0.0C,TW=1.09ms,App=6.07ms,GD=0.00ms,CPU&GPU=10.52ms,LCnt=1(DR90,LM0),GPU%=0.65,CPU%=0.23(W0.32),CFL=12.94/16.53,ICFLp95=15.76,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=358,PoseAgeP95=0.00
