# секунда	частота	CPU мс	GPU мс	draw calls
249	72.0	1.684	8.855	1600
250	72.0	1.618	8.837	1600
251	72.0	1.713	10.479	1600
252	72.0	1.666	10.372	1600
253	72.0	1.702	10.362	1600
254	72.0	1.569	10.728	1600
255	72.0	1.655	10.535	1600
256	72.0	1.651	10.552	1600
257	72.0	1.602	10.433	1600
258	72.0	1.681	10.779	1600
259	72.0	1.582	10.678	1600
260	72.0	1.635	10.469	1600
261	72.0	1.632	10.362	1600
262	72.0	1.669	10.606	1600
263	72.0	1.633	10.596	1600
264	72.0	1.616	10.478	1600
265	72.0	1.683	10.463	1600
266	72.0	1.667	10.375	1600
267	72.0	1.583	10.311	1600
268	72.0	1.708	10.385	1600
269	72.0	1.690	10.331	1600
270	72.0	1.722	10.387	1600
271	72.0	1.637	10.043	1600
272	72.0	1.718	10.603	1600
273	72.0	1.719	10.863	1600
274	72.0	1.668	10.695	1600
275	72.0	1.624	10.707	1600
276	72.0	1.728	10.299	1600
277	72.0	1.830	6.252	771
278	72.0	1.703	11.343	1600
279	72.0	1.664	11.204	1600
280	72.0	0.214	2.624	0
281	72.0	1.725	7.547	1600
282	72.0	1.532	10.586	1600
284	72.0	0.232	2.609	0
285	72.0	1.615	10.867	1600
286	72.0	1.752	11.327	1600
287	72.0	1.645	9.973	1600
288	72.0	1.685	10.964	1600
289	72.0	1.636	11.037	1600
290	72.0	1.663	10.929	1600
291	72.0	1.567	10.497	1600
292	72.0	1.582	10.342	1600
293	72.0	1.575	10.066	1600
294	72.0	1.580	10.669	1600
295	72.0	1.842	11.270	1600
296	72.0	1.618	10.863	1600
297	72.0	1.640	10.948	1600
298	72.0	1.551	10.927	1600
299	72.0	1.616	10.995	1600
300	72.0	1.629	10.470	1600
301	72.0	1.663	10.894	1600
302	72.0	1.615	10.889	1600
303	72.0	1.788	11.062	1600
304	72.0	1.651	10.958	1600
305	72.0	1.680	10.366	1600
306	72.0	1.569	10.932	1600
307	72.0	1.675	10.967	1600
308	72.0	1.687	10.370	1600
309	72.0	1.721	10.912	1600
310	72.0	1.696	10.350	1600
311	72.0	1.623	10.377	1600
312	72.0	1.588	10.428	1600
313	72.0	1.645	10.452	1600
314	72.0	1.596	10.431	1600
315	72.0	1.609	10.756	1600
316	72.0	1.625	10.677	1600
317	72.0	1.807	10.819	1600
318	72.0	1.613	10.288	1600
319	72.0	1.516	10.322	1600
320	72.0	1.619	10.424	1600
321	72.0	1.527	10.438	1600
322	72.0	1.756	10.449	1600
323	72.0	1.542	10.472	1600
324	72.0	1.597	10.456	1600
325	72.0	1.597	10.405	1600
326	72.0	1.580	10.409	1600
327	72.0	1.559	10.516	1600
328	72.0	1.621	10.477	1600
329	72.0	1.568	10.255	1600
330	72.0	1.604	10.518	1600
331	72.0	1.542	10.674	1600
332	72.0	1.682	10.262	1600
333	72.0	1.512	10.348	1600
334	72.0	1.601	10.292	1600
335	72.0	1.622	10.414	1600
336	72.0	1.665	10.397	1600
337	72.0	1.537	10.164	1600
338	72.0	1.658	10.674	1600
339	72.0	1.626	10.027	1600
340	72.0	1.662	10.439	1600
341	72.0	1.599	10.332	1600
342	72.0	1.726	10.417	1600
343	72.0	1.707	10.503	1600
344	72.0	1.634	10.423	1600
345	72.0	1.817	10.593	1600
346	72.0	1.633	10.380	1600
347	72.0	1.657	10.400	1600
348	72.0	1.760	10.482	1600
349	72.0	1.663	10.498	1600
350	72.0	1.760	10.524	1600
351	72.0	1.757	10.529	1600
352	72.0	1.667	10.501	1600
353	72.0	1.645	10.483	1600
354	72.0	1.699	10.539	1600
355	72.0	1.664	10.484	1600
356	72.0	1.664	10.462	1600
357	72.0	1.813	10.361	1600
358	72.0	1.719	10.521	1600
359	72.0	1.632	10.403	1600
360	72.0	1.837	10.748	1600
361	72.0	1.658	10.351	1600
362	72.0	1.756	10.444	1600
363	72.0	1.683	10.394	1600
364	72.0	1.642	10.450	1600
365	72.0	1.736	10.559	1600
366	72.0	1.751	10.468	1600
