unix_t	window	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu
1789352116.8748	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9879		0	0	0	0
1789352116.8858	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1092	0.9841		0	0	0	0
1789352116.8858	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9880		0	0	0	0
1789352116.8970	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1092	0.9841		0	0	0	0
1789352116.8970	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1089	0.9880		0	0	0	0
1789352116.9083	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1092	0.9841		0	0	0	0
1789352116.9083	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1089	0.9880		0	0	0	0
1789352116.9192	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1092	0.9841		0	0	0	0
1789352116.9192	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1089	0.9880		0	0	0	0
1789352116.9304	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1093	0.9841		0	0	0	0
1789352116.9304	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1089	0.9879		0	0	0	0
1789352116.9414	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1093	0.9841		0	0	0	0
1789352116.9414	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1089	0.9879		0	0	0	0
1789352116.9526	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1093	0.9841		0	0	0	0
1789352116.9526	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1089	0.9878		0	0	0	0
1789352116.9637	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1093	0.9841		0	0	0	0
1789352116.9637	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1089	0.9879		0	0	0	0
1789352116.9745	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1093	0.9840		0	0	0	0
1789352116.9745	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1089	0.9880		0	0	0	0
1789352116.9857	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1093	0.9840		0	0	0	0
1789352116.9857	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1089	0.9880		0	0	0	0
1789352116.9971	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1093	0.9840		0	0	0	0
1789352116.9971	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1089	0.9880		0	0	0	0
1789352117.0082	rest	L	1	0.0017	0.0013	0.0008	0.0048	0.1092	0.9838		0	0	0	0
1789352117.0082	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1089	0.9880		0	0	0	0
1789352117.0194	rest	L	1	0.0017	0.0013	0.0008	0.0048	0.1092	0.9837		0	0	0	0
1789352117.0194	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1089	0.9881		0	0	0	0
