# секунда	частота	CPU мс	GPU мс	draw calls	клок GPU Гц	unix_время
263	90.0	0.842	6.778	800	-1	1789437556.311
264	90.0	0.813	6.800	800	-1	1789437557.311
265	90.0	0.798	6.883	800	-1	1789437558.311
266	90.0	0.875	6.816	800	-1	1789437559.311
267	90.0	0.785	6.475	800	-1	1789437560.322
268	90.0	0.735	6.510	800	-1	1789437561.322
270	90.0	0.823	6.482	800	-1	1789437562.333
271	90.0	0.780	6.805	800	-1	1789437563.333
272	90.0	0.933	6.494	800	-1	1789437564.333
273	90.0	0.775	6.458	800	-1	1789437565.334
274	90.0	0.799	6.437	800	-1	1789437566.334
275	90.0	1.378	6.933	800	-1	1789437567.345
276	90.0	0.854	6.855	800	-1	1789437568.345
277	90.0	0.917	6.552	800	-1	1789437569.345
278	90.0	0.811	6.864	800	-1	1789437570.345
279	90.0	1.172	6.883	800	-1	1789437571.345
280	90.0	0.819	6.499	800	-1	1789437572.345
281	90.0	0.822	6.813	800	-1	1789437573.356
282	90.0	1.603	6.171	800	-1	1789437574.357
283	90.0	0.889	6.803	800	-1	1789437575.356
284	90.0	0.815	6.452	800	-1	1789437576.357
285	90.0	0.814	6.774	800	-1	1789437577.356
286	90.0	0.814	6.780	800	-1	1789437578.357
287	90.0	0.808	6.456	800	-1	1789437579.357
288	90.0	0.793	6.450	800	-1	1789437580.357
289	90.0	0.810	6.448	800	-1	1789437581.356
290	90.0	0.805	6.457	800	-1	1789437582.357
291	90.0	0.787	6.437	800	-1	1789437583.357
292	90.0	0.692	6.476	800	-1	1789437584.357
293	90.0	0.776	6.470	800	-1	1789437585.368
294	90.0	0.831	6.469	800	-1	1789437586.369
295	90.0	0.697	7.745	800	-1	1789437587.368
296	90.0	0.771	6.451	800	-1	1789437588.369
297	90.0	0.815	6.876	800	-1	1789437589.380
298	90.0	0.854	6.564	800	-1	1789437590.380
299	90.0	0.860	6.547	800	-1	1789437591.380
300	90.0	0.675	6.489	800	-1	1789437592.391
301	90.0	0.827	6.777	800	-1	1789437593.391
302	90.0	0.827	6.445	800	-1	1789437594.391
303	90.0	0.865	6.540	800	-1	1789437595.402
304	90.0	1.140	6.848	800	-1	1789437596.402
305	90.0	0.830	6.465	800	-1	1789437597.403
306	90.0	0.775	6.497	800	-1	1789437598.403
307	90.0	0.804	6.466	800	-1	1789437599.403
308	90.0	0.836	6.452	800	-1	1789437600.414
309	90.0	1.574	7.015	800	-1	1789437601.424
310	90.0	1.455	6.944	800	-1	1789437602.424
311	90.0	1.230	6.962	800	-1	1789437603.425
312	90.0	0.813	6.970	800	-1	1789437604.425
313	90.0	0.951	6.892	800	-1	1789437605.425
314	90.0	0.917	6.869	800	-1	1789437606.425
