# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789400168.731327741	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400169.025969853	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400169.322716185	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400169.617162568	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400169.911016764	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400170.205872158	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400170.495736093	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400170.786965081	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400171.078896204	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400171.375842796	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400171.668186679	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400171.960135614	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400172.252182102	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400172.544386193	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400172.837679816	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400173.131775210	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400173.427930656	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400173.719610998	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400174.012131235	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400174.303554494	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400174.595337960	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400174.888232417	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400175.181110519	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400175.474023308	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400175.777844849	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400176.073110712	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400176.367833345	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400176.659394885	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400176.955387987	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400177.247160568	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400177.542829504	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400177.837388804	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400178.133644198	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400178.426507352	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400178.719938892	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400179.017709651	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400179.310888638	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
