# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-15T23:51:33
1789498389.655	мастер_значение	globe	15.0	2.5	2.62	8	ball					radius_cm=15.0
1789498389.900	мастер_значение	globe	14.5	2.5	2.54	8	ball					radius_cm=14.5
1789498389.924	мастер_значение	globe	14.0	2.5	2.45	8	ball					radius_cm=14.0
1789498389.939	мастер_значение	globe	13.5	2.5	2.36	8	ball					radius_cm=13.5
1789498390.102	мастер_значение	globe	13.0	2.5	2.61	7	ball					radius_cm=13.0
1789498390.129	мастер_значение	globe	12.5	2.5	2.51	7	ball					radius_cm=12.5
1789498390.154	мастер_значение	globe	12.0	2.5	2.41	7	ball					radius_cm=12.0
1789498390.174	мастер_значение	globe	11.5	2.5	2.31	7	ball					radius_cm=11.5
1789498390.189	мастер_значение	globe	11.0	2.5	2.6	6	ball					radius_cm=11.0
1789498390.205	мастер_значение	globe	10.5	2.5	2.48	6	ball					radius_cm=10.5
1789498390.231	мастер_значение	globe	10.0	2.5	2.37	6	ball					radius_cm=10.0
1789498390.253	мастер_значение	globe	10.5	2.5	2.48	6	ball					radius_cm=10.5
1789498390.267	мастер_значение	globe	10.0	2.5	2.37	6	ball					radius_cm=10.0
1789498390.378	мастер_значение	globe	10.5	2.5	2.48	6	ball					radius_cm=10.5
1789498390.444	мастер_значение	globe	11.0	2.5	2.6	6	ball					radius_cm=11.0
1789498390.489	мастер_значение	globe	11.5	2.5	2.31	7	ball					radius_cm=11.5
1789498390.512	мастер_значение	globe	12.0	2.5	2.41	7	ball					radius_cm=12.0
1789498390.532	мастер_значение	globe	12.5	2.5	2.51	7	ball					radius_cm=12.5
1789498390.551	мастер_значение	globe	13.0	2.5	2.61	7	ball					radius_cm=13.0
1789498390.575	мастер_значение	globe	13.5	2.5	2.36	8	ball					radius_cm=13.5
1789498390.592	мастер_значение	globe	13.0	2.5	2.61	7	ball					radius_cm=13.0
