# секунда	частота	CPU мс	GPU мс	draw calls
399	72.0	1.581	10.487	1600
400	72.0	1.604	10.422	1600
401	72.0	1.745	10.656	1600
402	72.0	1.546	10.325	1600
403	72.0	1.798	11.323	1600
404	72.0	1.683	11.075	1600
405	72.0	1.671	11.150	1600
406	72.0	1.701	11.419	1600
407	72.0	1.688	11.063	1600
408	72.0	1.716	11.384	1600
409	72.0	1.721	11.007	1600
410	72.0	1.698	10.952	1600
411	72.0	1.764	11.400	1600
412	72.0	1.673	11.483	1600
413	72.0	1.800	11.002	1600
414	72.0	1.733	11.020	1600
415	72.0	1.776	11.024	1600
416	72.0	1.691	11.221	1600
417	72.0	1.598	10.905	1600
418	72.0	1.613	11.065	1600
419	72.0	1.813	11.327	1600
420	72.0	1.687	11.292	1600
421	72.0	1.733	10.922	1600
422	72.0	1.686	11.346	1600
423	72.0	1.741	10.974	1600
424	72.0	1.821	11.544	1600
425	72.0	1.841	11.535	1600
426	72.0	1.585	11.046	1600
427	72.0	1.803	11.012	1600
428	72.0	1.640	11.009	1600
429	72.0	1.638	10.988	1600
430	72.0	1.596	11.072	1600
431	72.0	1.797	11.435	1600
432	72.0	1.599	11.386	1600
433	72.0	1.612	11.353	1600
434	72.0	1.753	11.352	1600
435	72.0	1.636	10.954	1600
436	72.0	1.675	11.411	1600
437	72.0	1.608	10.989	1600
438	72.0	1.598	11.363	1600
439	72.0	1.744	11.395	1600
440	72.0	1.697	11.039	1600
441	72.0	1.747	11.044	1600
442	72.0	1.731	11.443	1600
443	72.0	1.649	10.982	1600
444	72.0	1.643	10.981	1600
445	72.0	1.702	11.008	1600
446	72.0	1.800	11.392	1600
447	72.0	1.700	11.215	1600
448	72.0	1.752	11.184	1600
449	72.0	1.650	11.157	1600
450	72.0	1.637	10.878	1600
451	72.0	1.639	10.311	1600
452	72.0	1.623	10.684	1600
453	72.0	1.780	10.952	1600
454	72.0	1.695	11.193	1600
455	72.0	1.782	11.313	1600
456	72.0	1.754	11.232	1600
457	72.0	1.747	10.900	1600
458	72.0	1.772	11.270	1600
459	72.0	1.749	10.927	1600
460	72.0	2.035	11.311	1600
461	72.0	1.731	11.338	1600
462	72.0	1.760	11.251	1600
463	72.0	1.858	10.979	1600
464	72.0	1.704	11.152	1600
465	72.0	1.782	10.885	1600
466	72.0	1.829	10.867	1600
467	72.0	1.940	11.390	1600
468	72.0	1.574	10.956	1600
469	72.0	1.647	10.951	1600
470	72.0	1.593	10.941	1600
471	72.0	1.700	10.947	1600
472	72.0	1.646	10.918	1600
473	72.0	1.761	11.230	1600
474	72.0	1.632	10.848	1600
475	72.0	1.842	11.445	1600
476	72.0	1.657	10.933	1600
477	72.0	1.686	10.989	1600
478	72.0	1.663	11.021	1600
479	72.0	1.694	10.975	1600
480	72.0	1.637	10.970	1600
481	72.0	1.609	11.049	1600
482	72.0	1.575	10.971	1600
483	72.0	1.731	11.226	1600
484	72.0	1.716	11.226	1600
485	72.0	1.729	11.238	1600
486	72.0	1.805	11.183	1600
487	72.0	1.885	11.261	1600
488	72.0	1.701	11.417	1600
489	72.0	1.994	11.271	1600
490	72.0	1.726	11.224	1600
491	72.0	1.696	11.333	1600
492	72.0	1.794	11.242	1600
493	72.0	1.692	11.257	1600
494	72.0	1.697	10.913	1600
495	72.0	1.627	11.048	1600
496	72.0	1.860	11.264	1600
497	72.0	1.755	11.376	1600
498	72.0	1.853	11.273	1600
499	72.0	1.775	11.367	1600
500	72.0	1.748	10.931	1600
501	72.0	1.799	11.221	1600
502	72.0	1.848	11.295	1600
503	72.0	1.793	11.247	1600
504	72.0	1.749	10.890	1600
505	72.0	1.809	11.416	1600
506	72.0	1.989	9.278	1537
507	72.0	1.768	11.089	1600
508	72.0	1.743	10.955	1600
509	72.0	1.763	11.366	1600
510	72.0	1.738	11.410	1600
511	72.0	1.783	11.258	1600
512	72.0	1.811	10.954	1600
513	72.0	1.857	11.234	1600
514	72.0	1.830	11.298	1600
515	72.0	1.786	11.410	1600
516	72.0	1.811	11.015	1600
517	72.0	1.702	11.038	1600
518	72.0	1.682	10.919	1593
519	72.0	1.814	11.073	1600
520	72.0	1.837	11.370	1600
521	72.0	1.683	11.100	1600
522	72.0	1.678	11.004	1600
523	72.0	1.709	11.011	1600
524	72.0	1.672	11.352	1600
525	72.0	1.684	9.337	1457
526	72.0	1.654	8.291	1188
527	72.0	1.513	8.758	1317
528	72.0	1.690	11.045	1600
529	72.0	1.726	10.983	1600
530	72.0	1.707	10.941	1600
531	72.0	1.769	11.256	1600
532	72.0	1.777	11.189	1600
533	72.0	1.760	11.254	1600
534	72.0	1.631	10.951	1600
535	72.0	1.808	10.946	1600
536	72.0	1.714	10.921	1600
537	72.0	1.796	10.910	1600
538	72.0	1.743	11.312	1600
539	72.0	1.661	11.239	1600
540	72.0	1.710	10.941	1600
541	72.0	1.688	11.389	1600
542	72.0	1.668	11.366	1600
543	72.0	1.807	10.930	1600
544	72.0	1.671	11.051	1600
545	72.0	1.813	11.381	1600
546	72.0	1.781	11.077	1600
547	72.0	1.634	11.310	1600
548	72.0	1.749	11.395	1600
549	72.0	1.599	10.968	1600
550	72.0	1.628	10.926	1600
551	72.0	1.902	11.377	1600
552	72.0	1.716	11.128	1600
553	72.0	1.861	10.902	1600
554	72.0	1.899	10.948	1600
555	72.0	1.675	11.007	1600
556	72.0	1.695	10.972	1600
557	72.0	1.668	11.050	1600
558	72.0	1.762	11.044	1600
559	72.0	1.674	11.077	1600
560	72.0	1.696	11.047	1600
561	72.0	1.563	11.012	1600
562	72.0	1.676	10.975	1600
563	72.0	1.761	11.380	1600
564	72.0	1.567	10.939	1600
565	72.0	1.880	11.010	1600
566	72.0	1.780	11.283	1600
567	72.0	1.663	11.262	1600
568	72.0	1.861	11.383	1600
569	72.0	1.807	11.382	1600
570	72.0	1.579	11.353	1600
571	72.0	1.692	10.969	1600
572	72.0	1.593	10.949	1600
573	72.0	1.904	11.118	1600
574	72.0	1.750	11.484	1600
575	72.0	1.715	11.363	1600
576	72.0	1.636	11.337	1600
577	72.0	1.664	10.980	1600
578	72.0	1.762	10.930	1600
579	72.0	1.596	11.162	1600
580	72.0	1.598	10.888	1600
581	72.0	1.671	11.000	1600
582	72.0	1.586	10.984	1600
583	72.0	1.628	11.006	1600
584	72.0	1.731	11.324	1600
585	72.0	1.654	11.343	1600
586	72.0	1.632	11.397	1600
587	72.0	1.621	10.986	1600
588	72.0	1.782	11.400	1600
589	72.0	1.555	10.933	1600
590	72.0	1.575	10.895	1600
591	72.0	1.640	10.969	1600
592	72.0	1.831	11.020	1600
593	72.0	1.666	10.930	1600
594	72.0	1.802	11.011	1600
595	72.0	1.860	11.391	1600
596	72.0	1.733	10.973	1600
597	72.0	1.712	11.005	1600
598	72.0	1.742	10.985	1600
599	72.0	1.668	11.022	1600
600	72.0	1.673	11.145	1600
601	72.0	1.722	11.288	1600
602	72.0	1.722	11.331	1600
603	72.0	1.774	10.961	1600
604	72.0	1.894	10.992	1600
605	72.0	1.818	11.426	1600
606	72.0	1.729	11.052	1600
607	72.0	1.783	11.462	1600
608	72.0	1.682	10.985	1600
609	72.0	0.400	2.943	76
610	72.0	1.632	10.924	1600
611	72.0	1.668	11.000	1600
612	72.0	1.620	10.968	1600
613	72.0	1.841	10.972	1600
614	72.0	1.601	10.955	1600
615	72.0	1.749	10.961	1600
616	72.0	1.870	10.981	1600
617	72.0	1.703	11.052	1600
618	72.0	1.685	11.064	1600
619	72.0	1.765	11.384	1600
620	72.0	1.757	11.406	1600
621	72.0	1.802	11.245	1600
622	72.0	1.729	11.261	1600
623	72.0	1.709	11.328	1600
624	72.0	1.604	10.949	1600
625	72.0	1.660	10.977	1600
626	72.0	1.745	11.417	1600
627	72.0	1.550	10.872	1600
628	72.0	1.876	11.312	1600
629	72.0	1.647	10.971	1600
630	72.0	1.712	10.897	1600
631	72.0	1.740	10.942	1600
632	72.0	1.836	11.225	1600
633	72.0	1.834	10.996	1600
634	72.0	1.670	10.992	1600
635	72.0	1.775	11.283	1600
636	72.0	1.836	11.314	1600
637	72.0	1.760	11.061	1600
638	72.0	1.745	11.320	1600
639	72.0	1.702	10.887	1600
640	72.0	1.699	10.896	1600
641	72.0	1.696	10.846	1600
642	72.0	1.709	10.917	1600
643	72.0	1.637	11.364	1600
644	72.0	1.620	10.928	1600
646	72.0	1.728	10.962	1600
647	72.0	1.719	10.887	1600
648	72.0	1.624	11.263	1600
649	72.0	1.619	10.962	1600
650	72.0	1.841	11.272	1600
651	72.0	1.618	10.899	1600
652	72.0	1.674	10.894	1600
653	72.0	1.614	10.909	1600
654	72.0	1.566	11.069	1600
655	72.0	1.568	10.938	1600
656	72.0	1.562	10.977	1600
657	72.0	1.646	11.328	1600
658	72.0	1.674	10.912	1600
659	72.0	1.707	11.027	1600
660	72.0	1.763	10.879	1600
661	72.0	1.577	11.409	1600
662	72.0	1.655	10.969	1600
663	72.0	1.724	11.336	1600
664	72.0	1.599	10.928	1600
665	72.0	1.590	11.292	1600
666	72.0	1.677	11.456	1600
667	72.0	1.633	11.007	1600
668	72.0	1.717	11.307	1600
669	72.0	1.642	10.965	1600
670	72.0	1.750	10.943	1600
671	72.0	1.710	11.050	1600
672	72.0	1.620	11.171	1600
673	72.0	1.631	11.093	1600
674	72.0	1.669	11.119	1600
675	72.0	1.585	11.082	1600
676	72.0	1.615	11.044	1600
677	72.0	1.640	11.009	1600
678	72.0	1.694	11.098	1600
679	72.0	1.586	11.087	1600
680	72.0	1.602	11.059	1600
681	72.0	1.686	11.118	1600
682	72.0	1.657	11.076	1600
683	72.0	1.688	11.188	1600
684	72.0	1.626	11.084	1600
685	72.0	1.585	11.098	1600
686	72.0	1.663	11.108	1600
687	72.0	1.547	11.003	1600
688	72.0	1.593	11.055	1600
689	72.0	1.565	11.068	1600
690	72.0	1.624	11.023	1600
691	72.0	1.603	10.986	1600
692	72.0	1.625	11.020	1600
693	72.0	1.569	11.012	1600
694	72.0	1.629	11.043	1600
695	72.0	1.590	11.095	1585
696	72.0	1.618	10.520	1541
697	72.0	1.576	10.491	1513
698	72.0	1.685	11.070	1600
699	72.0	1.632	11.364	1600
700	72.0	1.581	10.994	1600
701	72.0	1.594	11.117	1600
702	72.0	1.388	10.872	1600
703	72.0	1.670	11.320	1600
704	72.0	1.610	10.903	1600
705	72.0	1.681	11.382	1600
706	72.0	1.591	11.059	1600
707	72.0	1.640	11.067	1600
708	72.0	1.683	11.355	1600
709	72.0	1.607	11.031	1600
710	72.0	1.623	11.013	1600
711	72.0	1.775	11.438	1600
712	72.0	1.605	11.019	1600
713	72.0	1.634	11.038	1600
714	72.0	1.605	11.027	1600
715	72.0	1.604	11.053	1600
716	72.0	1.554	11.013	1600
717	72.0	1.704	11.018	1600
718	72.0	1.591	10.991	1600
719	72.0	1.594	9.289	1509
720	72.0	1.676	11.125	1600
721	72.0	1.632	11.088	1600
722	72.0	1.673	11.573	1600
723	72.0	1.678	11.180	1597
724	72.0	1.788	11.112	1600
725	72.0	1.592	11.068	1600
726	72.0	1.687	11.537	1600
727	72.0	1.673	10.994	1600
728	72.0	1.691	11.053	1600
729	72.0	1.720	11.031	1600
730	72.0	1.684	11.168	1577
731	72.0	1.778	11.558	1600
732	72.0	1.598	11.167	1600
733	72.0	1.753	11.149	1600
734	72.0	1.599	11.163	1600
735	72.0	1.677	10.989	1600
736	72.0	1.616	11.058	1600
737	72.0	1.619	11.177	1600
738	72.0	1.662	11.065	1600
739	72.0	1.631	11.149	1600
740	72.0	1.641	11.082	1600
741	72.0	1.644	10.717	1600
742	72.0	1.714	11.221	1600
743	72.0	1.850	11.469	1600
744	72.0	1.752	10.927	1600
745	72.0	1.689	11.101	1600
746	72.0	1.636	10.967	1600
747	72.0	1.687	11.047	1600
748	72.0	1.753	11.035	1600
749	72.0	1.577	10.921	1600
750	72.0	1.593	11.048	1600
751	72.0	1.798	11.482	1600
752	72.0	1.681	11.405	1600
753	72.0	1.721	11.047	1600
754	72.0	1.566	10.999	1600
755	72.0	1.650	11.034	1600
756	72.0	1.744	11.046	1600
757	72.0	1.662	11.049	1600
758	72.0	1.706	11.134	1600
759	72.0	1.773	11.109	1600
760	72.0	1.364	7.404	1028
761	72.0	1.768	11.305	1600
762	72.0	1.804	11.472	1600
763	72.0	1.837	11.438	1600
764	72.0	1.726	11.283	1600
765	72.0	1.724	11.435	1600
766	72.0	1.957	11.182	1600
767	72.0	1.721	10.993	1600
768	72.0	1.775	11.051	1600
769	72.0	1.662	10.988	1600
770	72.0	1.724	11.053	1600
771	72.0	1.754	11.061	1600
772	72.0	0.231	2.608	0
773	72.0	1.609	10.956	1600
774	72.0	1.646	10.954	1600
775	72.0	1.654	11.024	1600
776	72.0	1.563	11.067	1600
777	72.0	1.593	11.022	1600
778	72.0	1.599	11.051	1600
779	72.0	1.581	11.059	1600
780	72.0	1.623	11.047	1600
781	72.0	1.626	11.082	1600
782	72.0	1.565	11.024	1600
783	72.0	1.621	11.095	1600
784	72.0	1.745	11.450	1600
785	72.0	1.726	11.068	1600
786	72.0	1.559	10.995	1600
787	72.0	1.812	11.252	1600
788	72.0	1.682	11.324	1600
789	72.0	1.596	11.022	1600
790	72.0	1.688	11.433	1600
791	72.0	1.681	11.003	1600
792	72.0	1.824	11.405	1600
793	72.0	1.675	10.989	1600
794	72.0	1.703	11.022	1600
795	72.0	1.630	10.965	1600
796	72.0	1.626	10.949	1600
797	72.0	1.642	11.000	1600
798	72.0	1.673	10.899	1600
799	72.0	1.670	11.023	1600
800	72.0	1.657	10.901	1600
801	72.0	1.640	10.992	1600
802	72.0	1.683	11.034	1600
803	72.0	1.716	10.972	1600
804	72.0	1.706	10.979	1600
805	72.0	1.596	10.943	1600
806	72.0	1.690	10.984	1600
807	72.0	1.644	10.840	1600
808	72.0	1.752	11.312	1600
809	72.0	1.800	11.100	1600
810	72.0	1.637	11.069	1600
811	72.0	1.749	11.428	1600
812	72.0	1.646	10.454	1549
813	72.0	1.655	11.332	1593
814	72.0	1.640	10.781	1577
815	72.0	1.584	11.016	1600
816	72.0	1.706	11.071	1600
817	72.0	1.602	11.097	1600
818	72.0	1.647	11.016	1600
819	72.0	1.650	10.750	1600
820	72.0	1.581	11.049	1600
821	72.0	1.648	11.209	1600
