# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	ввод	профиль	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-20T11:28:12
1789885841.823	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "do": "reload", "view": "browse", "folder": "profile" }
1789885846.580	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "do": "profile", "view": "browse", "folder": "profile", "action": "profile_height" }
1789885851.037	профиль_рост	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				169 см
1789885851.039	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "folder": "profile", "view": "browse", "items": 8, "total": 8, "page": 1, "pages": 1 }
1789885851.039	панель_кнопка	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				профиль: done
1789885853.193	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				show
1789885853.193	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "do": "profile", "view": "browse", "folder": "profile", "action": "profile_name" }
1789885853.504	сессия_openxr	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				session_visible кадр 14268
1789885866.448	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				hide
1789885866.448	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				enter
1789885866.502	сессия_openxr	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				session_focussed кадр 15437
1789885868.083	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				hide
1789885868.083	профиль_имя	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				Flamti
1789885868.085	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "folder": "profile", "view": "browse", "items": 8, "total": 8, "page": 1, "pages": 1 }
