# unix_время	событие	стратегия	радиус_м	частота	альфа	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-15T07:56:35
1789480102.694	param	lens	0.11	0	0.26		light_lamp		24467	{ "strategy": "lens", "radius": 0.11, "freq": 0, "alpha": 0.26, "folder": "" }
1789480105.170	active	lens	0.11	0	0.26		light_lamp		26942	{ "key": "(33, -13)", "slot": 0 }
1789480107.038	select	lens	0.11	0	0.26	scene	light_lamp	нет	28811	{ "action": "enter", "slot": 0, "item": "scene", "title": "Сцена", "via": "ray" }
1789480107.039	folder	lens	0.11	0	0.26	scene	light_lamp		28811	{ "folder": "scene", "items": 8 }
1789480107.047	active	lens	0.11	0	0.26	scene	light_lamp		28819	{ "key": "(34, -14)", "slot": 0 }
1789480109.284	select	lens	0.11	0	0.26	scene_open	light_lamp	нет	31056	{ "action": "enter", "slot": 1, "item": "scene_open", "title": "Открыть сцену", "via": "ray" }
1789480109.284	folder	lens	0.11	0	0.26	scene_open	light_lamp		31057	{ "folder": "scene_open", "items": 6 }
1789480109.292	active	lens	0.11	0	0.26	scene_open	light_lamp		31064	{ "key": "(34, -14)", "slot": 0 }
1789480112.350	back	lens	0.11	0	0.26	scene	light_lamp		34122	{ "action": "back" }
1789480112.350	folder	lens	0.11	0	0.26	scene	light_lamp		34123	{ "folder": "scene", "items": 8 }
1789480112.358	active	lens	0.11	0	0.26	scene	light_lamp		34131	{ "key": "(34, -14)", "slot": 0 }
1789480113.594	select	lens	0.11	0	0.26	scene_light	light_lamp	нет	35366	{ "action": "enter", "slot": 2, "item": "scene_light", "title": "Свет", "via": "ray" }
1789480113.594	folder	lens	0.11	0	0.26	scene_light	light_lamp		35367	{ "folder": "scene_light", "items": 5 }
1789480113.602	active	lens	0.11	0	0.26	scene_light	light_lamp		35375	{ "key": "(34, -14)", "slot": 0 }
1789480114.684	select	lens	0.11	0	0.26	scene_light	light_lamp	нет	36456	{ "action": "close", "slot": 0, "item": "light_sun", "title": "Солнце", "via": "ray" }
1789480116.916	folder	lens	0.11	0	0.26	scene_light	light_lamp		38688	{ "folder": "scene_light", "items": 5 }
1789480116.916	toggle	lens	0.11	0	0.26	scene_light	light_lamp		38689	{ "open": true }
1789480116.927	active	lens	0.11	0	0.26	scene_light	light_lamp		38699	{ "key": "(33, -13)", "slot": 1 }
1789480118.339	back	lens	0.11	0	0.26	scene	light_lamp		40111	{ "action": "back" }
1789480118.339	folder	lens	0.11	0	0.26	scene	light_lamp		40112	{ "folder": "scene", "items": 8 }
1789480118.347	active	lens	0.11	0	0.26	scene	light_lamp		40120	{ "key": "(34, -14)", "slot": 0 }
1789480121.425	active	lens	0.11	0	0.26	scene	light_lamp		43197	{ "key": "(33, -13)", "slot": 1 }
1789480121.750	back	lens	0.11	0	0.26		light_lamp		43522	{ "action": "back" }
1789480121.750	folder	lens	0.11	0	0.26		light_lamp		43523	{ "folder": "", "items": 11 }
1789480121.758	active	lens	0.11	0	0.26		light_lamp		43531	{ "key": "(33, -13)", "slot": 0 }
